date,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,residual_pnl
2021-05-25,2.2737367544323206e-13,1.3360480930957577,5522.758377764459,-18472.868438824644,5108.797256940707
2021-05-26,-1.4551915228366852e-11,2757.0155698282647,-19737.324444417267,-20475.85556794163,9907.21008554172
2021-05-27,0.0,4904.836529700311,-3274.9705980906056,-16261.096223508534,5812.9763203359325
2021-05-28,0.0,9664.41434362644,-25284.303337497626,-14992.930326051694,13604.424145908779
2021-05-31,32000.92214634354,5363.424884575367,21746.721220144307,-14086.046692502094,-18615.267322028158
2021-06-01,-7.275957614183426e-12,3672.474516674795,7715.0999152765235,-17447.667949191826,5096.324735104361
2021-06-02,3.637978807091713e-12,5210.195421166047,-8422.1188682098,-20670.970725048595,5275.563990498224
2021-06-03,7.275957614183426e-12,6874.734212954546,-16307.810181310184,-21907.286120393677,13336.060501869653
2021-06-04,0.0,18361.9446201413,10711.980096064155,-15951.816385864127,508.146905829497
2021-06-07,33241.91451981285,8600.04444224841,9965.402146022258,-19661.222446275606,-23195.374382273974
2021-06-08,-9.094947017729282e-13,72.50783631876918,5686.350371922058,-21266.841657644112,6046.858159466063
2021-06-09,0.0,1653.7267519049474,-13526.797681713851,-22485.138225280505,5995.939206227136
2021-06-10,0.0,778.4345587268291,-6263.804236165521,-22655.35375507311,8634.382944644409
2021-06-11,1.8189894035458565e-12,4820.428551501721,-21924.090837612788,-20050.677645432854,11544.68852202822
2021-06-14,15718.396382856212,1992.9144013202044,3442.351293044559,-18429.71221025578,-21106.300797569627
2021-06-15,1.8189894035458565e-12,634.8946849661919,-17115.372287945782,-18952.401352525623,5599.791021321405
2021-06-16,1.4551915228366852e-11,60249.07569607485,24408.323114792245,-19666.914633903732,9254.291067893035
2021-06-17,-1.2505552149377763e-12,439.6296682773171,-9615.21648972102,-31250.74277746177,11204.410195931046
2021-06-18,-5.4569682106375694e-12,127988.68308546854,-12861.04273931789,-29745.386678639636,16603.474781131765
2021-06-21,50398.94218699905,29463.126370128768,27577.941604496456,-17568.485033872097,-26257.741581128794
2021-06-22,0.0,7020.878103104489,-5555.916688933903,-25237.853386985305,7675.432573510901
2021-06-23,-9.094947017729282e-13,1953.844189898366,12135.94830811574,-26082.572272742324,6693.434595024577
2021-06-24,2.7284841053187847e-12,13852.84854159565,-9246.683969264443,-28820.037846628344,12495.472055048685
2021-06-25,-9.094947017729282e-13,677.1669301190676,-21457.55290170758,-25782.588882987842,15714.913332921718
2021-06-28,38000.707185586536,15651.223600424153,4578.896209749313,-20272.80744680302,-24244.92270522065
2021-06-29,0.0,2617.5784107722784,1682.7981148974732,-21795.280576980982,5263.771510813389
2021-06-30,5.4569682106375694e-12,1382.0572980417292,-20466.870614634714,-23039.673051687427,9249.895843090719
2021-07-01,1.0913936421275139e-11,2275.6821349832167,-6359.505758439798,-20799.49075314284,10991.533644837176
2021-07-02,0.0,1340.2494049119896,-6928.419021002866,-16270.76260337826,6090.7066781575195
2021-07-05,42007.912056067464,15849.93681765255,14549.697063469577,-16685.659845910024,-21120.633629132746
2021-07-06,-1.2732925824820995e-11,163107.21150240867,4997.0723611956455,-20050.508307682023,-17775.203449758323
2021-07-07,3.637978807091713e-12,808.5834258713988,-14441.433876087076,-15298.668666872343,7498.012056860156
2021-07-08,-5.820766091346741e-11,100092.48436219105,18954.553770597566,-13649.930417124402,-13817.135149181646
2021-07-09,-5.820766091346741e-11,43452.52296831069,-3651.487879502227,-9423.24121295217,7762.299791474477
2021-07-12,-1499.6602290767978,19.730000821912608,8113.453088329227,-18588.942264133624,-23283.9676421653
2021-07-13,0.0,24370.115050946602,-7947.258763587472,-21394.356612300275,8847.380156716456
2021-07-14,0.0,714.8851913375624,5703.541923121255,-18111.282165673605,4227.410677715619
2021-07-15,2.9103830456733704e-11,66666.74842385786,15983.679716685621,-21591.131559641064,-9521.753693246515
2021-07-16,-1.4551915228366852e-11,3574.6919096155098,-13456.31025815869,-13757.385914559189,18811.397875349503
2021-07-19,-102054.43150408153,41498.35563618453,21195.321849308733,-9245.613932618247,-18258.824424792198
2021-07-20,2.9103830456733704e-11,7130.298496106538,15475.482912840213,-7301.760469151826,-905.0128523181484
2021-07-21,0.0,34892.75447346182,10373.885370080283,-6731.160204233884,14004.28927624214
2021-07-22,5.820766091346741e-11,17798.749399243447,19294.8553133269,-12459.604611655945,7493.0944895223365
2021-07-23,-1.4551915228366852e-11,3646.098900247085,-16885.117364846297,-17398.66156839423,9282.279787955391
2021-07-26,28300.70127892286,4522.180589270397,30820.28254692139,-19167.405581448023,-25704.33721193625
2021-07-27,0.0,42950.18213876369,-16589.354512339843,-23856.592953791707,8041.731225445124
2021-07-28,0.0,18816.568696383114,7749.231378429147,-17953.538129420704,4013.789379786118
2021-07-29,0.0,14234.844030667791,1839.0407228923877,-21758.706214938626,5114.575398575427
2021-07-30,0.0,37199.55710294954,-17638.612709058678,-21954.93395877312,7626.631626035465
2021-08-02,-17000.26942703624,1980.1327412426037,-10525.442213472563,-22757.16598101676,-23066.710686076083
2021-08-03,0.0,516.8194602459342,-5176.9123443318,-22480.742984780383,6575.928409492502
2021-08-04,0.0,22.47590506466121,-15821.302668707567,-23369.700537041856,7414.843596737628
2021-08-05,-7.275957614183426e-12,10538.691677045315,-9568.322501371811,-23109.79148049865,7395.371289163915
2021-08-06,0.0,6192.739207092518,-19921.36486224962,-21006.303625322347,7945.578300003865
2021-08-09,-41947.83310697223,16429.584458683898,18489.85305119895,-23452.874810782032,-30267.333843598502
2021-08-10,-7.275957614183426e-12,18417.495567578706,-2752.550307623742,-27015.587603358843,7457.829039421333
2021-08-11,-1.2732925824820995e-11,35005.2414092289,6520.264111851729,-29623.9024505325,10044.242411069223
2021-08-12,0.0,1226.5168411406062,-18472.750933582378,-28185.298482777096,13300.06035583829
2021-08-13,9.094947017729282e-13,92.000376316314,-9816.057362346955,-24144.979174228487,10772.420317649874
2021-08-16,16041.608443409183,2886.56105782155,12610.003365724959,-21065.079245461086,-28575.382718690358
2021-08-17,3.637978807091713e-12,10185.838386188394,-8984.0189101882,-25895.849539586732,6783.788903689347
2021-08-18,1.1368683772161603e-13,1568.5167497720965,-1760.4119669423203,-28577.291366526093,8509.439214736096
2021-08-19,7.275957614183426e-12,199316.02695549923,-2584.8271328376795,-30074.270479802177,10778.359223216947
2021-08-20,-9.094947017729282e-13,18.789124343988544,-10038.792567331626,-19107.983664186526,11478.943953263806
2021-08-23,83073.34179375748,52951.86157222281,40880.65082808287,-18655.711747919035,-22533.474061963178
2021-08-24,-1.0913936421275139e-11,72589.87846620016,24681.17147224689,-27785.01848709199,5703.819264860984
2021-08-25,3.637978807091713e-12,1768.6426169061592,-8264.822648205442,-26728.94239785854,10128.676490448188
2021-08-26,0.0,3457.776440657688,-8684.415556338727,-24972.213412942983,6113.560021306555
2021-08-27,-2.9103830456733704e-11,121257.29683666464,15979.234956411145,-26933.77838227634,-6840.488988968544
2021-08-30,-42838.596471446464,10522.510935911441,31398.52421131505,-15316.411563516984,-20978.782284886445
2021-08-31,1.4551915228366852e-11,4218.232914396325,-6686.455143064104,-15023.804570745304,2867.7196563517064
2021-09-01,0.0,5148.517194958258,-12664.707151037333,-16904.445569040316,3009.3178337333957
